Feature,Mean_Abs_SHAP
CZ_Roughness,0.04639786577496283
Anneal_Time,0.02802396827617225
CZ_Concentration,0.02634229775878662
Press2_Time,0.022372290475798404
Anneal_Temp,0.022233928536197798
Cure_Temp,0.019192239863118733
Cure_Time,0.01797562145335872
Press2_Temp,0.017788640331957265
Press1_Time,0.01653342707741706
Press3_Temp,0.016248768578096942
Press3_Time,0.0160253268202674
Press1_Temp,0.015981387466974865
Press2_Pressure,0.015370151860888168
Press3_Pressure,0.015072533139458107
Press1_Pressure,0.014857674100872523
